"","familia","genero","especie","municipio","lugar","captura"
"1","didelphidae","didelphis","marsupialis","ASM","GUI","2025:05:30 23:17:38"
"2","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:06 20:57:44"
"3","mephitidae","conepatus","semistriatus","ASM","GUI","2025:06:08 02:24:17"
"4","mephitidae","conepatus","semistriatus","ASM","GUI","2025:06:08 02:24:19"
"5","mephitidae","conepatus","semistriatus","ASM","GUI","2025:06:17 04:36:04"
"6","mephitidae","conepatus","semistriatus","ASM","GUI","2025:06:17 04:36:06"
"7","didelphidae","didelphis","virginiana","ASM","GUI","2025:06:18 19:59:51"
"8","procyonidae","procyon","lotor","ASM","GUI","2025:06:22 18:48:23"
"9","procyonidae","procyon","lotor","ASM","GUI","2025:06:22 18:48:26"
"10","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:27 20:54:46"
"11","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:27 20:54:48"
"12","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:27 21:29:55"
"13","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:27 21:29:57"
"14","didelphidae","didelphis","virginiana","ASM","GUI","2025:06:27 21:30:29"
"15","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:27 21:30:31"
"16","didelphidae","didelphis","virginiana","ASM","GUI","2025:06:27 21:30:44"
"17","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:27 21:30:46"
"18","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:27 21:31:06"
"19","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:27 21:31:08"
"20","didelphidae","didelphis","virginiana","ASM","GUI","2025:06:27 21:31:50"
"21","didelphidae","didelphis","marsupialis","ASM","GUI","2025:06:27 21:31:52"
"22","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:13 19:55:21"
"23","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:13 19:55:23"
"24","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:15 03:58:09"
"25","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:15 03:58:11"
"26","mephitidae","mephitis","macroura","ASM","GUI","2025:07:17 21:20:35"
"27","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:20 23:41:16"
"28","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:20 23:41:18"
"29","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:20 23:41:43"
"30","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:20 23:41:45"
"31","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:20 23:42:09"
"32","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:07:20 23:51:34"
"33","procyonidae","procyon","lotor","ASM","GUI","2025:07:23 21:43:42"
"34","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:05:26 20:32:06"
"35","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:05:26 20:32:08"
"36","didelphidae","didelphis","virginiana","ASM","GUI","2025:05:27 01:32:24"
"37","mephitidae","mephitis","macroura","ASM","GUI","2025:05:28 19:06:39"
"38","mephitidae","conepatus","semistriatus","ASM","GUI","2025:05:28 19:06:41"
"39","mephitidae","mephitis","macroura","ASM","GUI","2025:06:06 01:47:27"
"40","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:06:06 02:32:38"
"41","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:06:06 02:32:40"
"42","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:06:12 23:29:36"
"43","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:06:12 23:29:38"
"44","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:06:17 02:10:45"
"45","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:06:17 02:10:47"
"46","dasypodidae","dasypus","novemcinctus","ASM","GUI","2025:06:23 19:55:21"
"47","mephitidae","conepatus","semistriatus","ASM","GUI","2025:06:25 05:03:45"
"48","didelphidae","didelphis","marsupialis","ASM","GUI","2025:07:13 20:24:53"
"49","didelphidae","didelphis","marsupialis","ASM","GUI","2025:07:13 20:24:55"
"50","leporidae","sylvilagus","floridanus","SCM","QB1","2025:06:12 01:32:35"
"51","canidae","urocyon","cinereoargenteus","SCM","QB1","2025:07:12 00:09:37"
"52","canidae","urocyon","cinereoargenteus","SCM","QB1","2025:07:12 00:09:39"
"53","canidae","urocyon","cinereoargenteus","SCM","QB1","2025:07:12 00:09:41"
"54","didelphidae","didelphis","marsupialis","ASM","GUI","2025:07:28 19:00:07"
"55","didelphidae","didelphis","marsupialis","ASM","GUI","2025:07:28 19:00:09"
"56","didelphidae","didelphis","marsupialis","ASM","GUI","2025:08:03 05:03:58"
"57","canidae","canis","latrans","SCM","CAT","2025:07:28 00:53:18"
"58","canidae","canis","latrans","SCM","CAT","2025:07:28 00:53:19"
"59","canidae","canis","latrans","SCM","CAT","2025:07:28 00:53:19"
"60","mephitidae","conepatus","semistriatus","SCM","CAT","2025:07:29 04:03:07"
"61","mephitidae","conepatus","semistriatus","SCM","CAT","2025:07:29 04:03:08"
"62","mephitidae","conepatus","semistriatus","SCM","CAT","2025:07:29 04:03:08"
"63","dasypodidae","dasypus","novemcinctus","SCM","IX","2025:08:01 19:03:48"
"64","procyonidae","procyon","lotor","SCM","IX","2025:08:02 03:07:38"
"65","procyonidae","procyon","lotor","SCM","IX","2025:08:02 03:07:40"
"66","felidae","herpailurus","yagouaroundi","ASM","GUI","2025:07:31 06:03:59"
"67","felidae","herpailurus","yagouaroundi","ASM","GUI","2025:07:31 06:04:01"
"68","didelphidae","didelphis","virginiana","ASM","GUI","2025:07:29 23:51:45"
"69","didelphidae","didelphis","virginiana","ASM","GUI","2025:07:29 23:51:47"
"70","procyonidae","procyon","lotor","AB","AB","2025:07:29 02:51:08"
"71","procyonidae","procyon","lotor","AB","AB","2025:07:29 02:51:10"
"72","procyonidae","procyon","lotor","AB","AB","2025:07:29 02:53:34"
"73","procyonidae","procyon","lotor","AB","AB","2025:07:29 02:53:36"
"74","procyonidae","procyon","lotor","AB","AB","2025:07:30 01:34:44"
"75","procyonidae","procyon","lotor","AB","AB","2025:07:30 01:34:46"
"76","procyonidae","procyon","lotor","AB","AB","2025:07:30 01:36:07"
"77","procyonidae","procyon","lotor","AB","AB","2025:07:30 01:36:09"
"78","procyonidae","procyon","lotor","AB","AB","2025:08:02 20:55:19"
"79","procyonidae","procyon","lotor","AB","AB","2025:08:02 20:55:22"
"80","dasypodidae","dasypus","novemcinctus","AB","AB","2025:08:02 22:57:01"
"81","dasypodidae","dasypus","novemcinctus","AB","AB","2025:08:02 22:57:03"
"82","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:07:31 18:32:44"
"83","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:07:31 18:32:47"
"84","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:02 00:49:49"
"85","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:02 00:59:21"
"86","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:02 00:59:23"
"87","procyonidae","procyon","lotor","SCM","QB2","2025:08:03 22:58:46"
"88","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:03 22:58:48"
"89","canidae","canis","latrans","SCM","CAT","2025:08:07 20:36:41"
"90","canidae","canis","latrans","SCM","CAT","2025:08:07 20:36:43"
"91","canidae","canis","latrans","SCM","CAT","2025:08:07 20:36:45"
"92","canidae","canis","latrans","SCM","CAT","2025:08:03 00:34:38"
"93","canidae","canis","latrans","SCM","CAT","2025:08:03 00:34:39"
"94","canidae","canis","latrans","SCM","CAT","2025:08:08 22:59:03"
"95","canidae","canis","latrans","SCM","CAT","2025:08:09 03:41:17"
"96","canidae","canis","latrans","SCM","CAT","2025:08:09 03:41:17"
"97","canidae","canis","latrans","SCM","CAT","2025:08:09 03:41:17"
"98","dasypodidae","dasypus","novemcinctus","SCM","IX","2025:08:03 01:34:48"
"99","dasypodidae","dasypus","novemcinctus","SCM","IX","2025:08:08 01:40:33"
"100","dasypodidae","dasypus","novemcinctus","SCM","IX","2025:08:08 01:40:35"
"101","mephitidae","mephitis","macroura","ASM","GUI","2025:08:08 03:31:47"
"102","mephitidae","mephitis","macroura","ASM","GUI","2025:08:08 03:31:49"
"103","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:05 00:30:10"
"104","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:06 02:57:59"
"105","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:06 02:58:01"
"106","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:06 02:58:03"
"107","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:07 20:20:26"
"108","didelphidae","didelphis","marsupialis","SCM","QB2","2025:08:08 19:03:51"
"109","didelphidae","didelphis","virginiana","SCM","QB2","2025:08:08 19:03:53"
"110","didelphidae","didelphis","virginiana","SCM","QB2","2025:08:08 19:03:55"
"111","didelphidae","didelphis","virginiana","SCM","QB2","2025:08:09 02:18:29"
"112","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:09 23:39:29"
"113","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:09 23:39:31"
"114","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:10"
"115","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:12"
"116","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:14"
"117","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:22"
"118","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:24"
"119","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:26"
"120","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:39"
"121","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:41"
"122","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:43"
"123","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:51"
"124","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:53"
"125","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:17:55"
"126","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:18:07"
"127","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:18:09"
"128","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:10 02:18:11"
"129","canidae","urocyon","cinereoargenteus","SCM","IX","2025:08:05 23:18:51"
"130","canidae","urocyon","cinereoargenteus","SCM","IX","2025:08:05 23:18:53"
"131","dasypodidae","dasypus","novemcinctus","SCM","IX","2025:08:08 02:44:31"
"132","procyonidae","procyon","lotor","ASM","GUI","2025:08:03 23:40:09"
"133","procyonidae","procyon","lotor","ASM","GUI","2025:08:03 23:40:12"
"134","felidae","herpailurus","yagouaroundi","ASM","GUI","2025:08:08 15:14:36"
"135","felidae","herpailurus","yagouaroundi","ASM","GUI","2025:08:05 08:41:10"
"136","felidae","herpailurus","yagouaroundi","ASM","GUI","2025:08:05 08:41:12"
"137","procyonidae","procyon","lotor","SCM","CAT","2025:08:10 01:11:24"
"138","canidae","canis","latrans","SCM","CAT","2025:08:11 02:25:20"
"139","canidae","canis","latrans","SCM","CAT","2025:08:17 05:26:20"
"140","dasypodidae","dasypus","novemcinctus","SCM","IX","2025:08:12 21:55:19"
"141","dasypodidae","dasypus","novemcinctus","SCM","IX","2025:08:12 21:55:21"
"142","dasypodidae","dasypus","novemcinctus","SCM","IX","2025:08:10 22:12:44"
"143","dasypodidae","dasypus","novemcinctus","SCM","IX","2025:08:10 22:12:46"
"144","mephitidae","conepatus","semistriatus","SCM","IX","2025:08:13 03:51:22"
"145","mephitidae","mephitis","macroura","SCM","IX","2025:08:13 03:51:24"
"146","didelphidae","didelphis","virginiana","SCM","IX","2025:08:14 00:22:25"
"147","didelphidae","didelphis","virginiana","SCM","IX","2025:08:14 00:22:27"
"148","didelphidae","didelphis","marsupialis","ASM","GUI","2025:08:12 22:42:26"
"149","didelphidae","didelphis","virginiana","ASM","GUI","2025:08:12 22:42:28"
"150","didelphidae","didelphis","virginiana","ASM","GUI","2025:08:12 22:42:31"
"151","didelphidae","didelphis","virginiana","ASM","GUI","2025:08:11 19:25:23"
"152","didelphidae","didelphis","virginiana","ASM","GUI","2025:08:11 23:23:40"
"153","procyonidae","procyon","lotor","AB","AB","2025:08:11 21:09:29"
"154","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:11 02:18:42"
"155","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:11 02:18:44"
"156","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:11 02:18:46"
"157","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 04:51:28"
"158","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 04:51:30"
"159","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 04:51:32"
"160","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 23:38:59"
"161","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 23:39:01"
"162","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 23:39:03"
"163","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 23:39:12"
"164","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 23:39:14"
"165","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 23:39:16"
"166","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:12 23:39:33"
"167","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:13 20:08:21"
"168","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:13 22:34:03"
"169","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:13 22:34:05"
"170","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:13 22:34:08"
"171","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:13 22:34:22"
"172","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:13 22:34:24"
"173","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:13 22:34:26"
"174","dasypodidae","dasypus","novemcinctus","SCM","QB2","2025:08:13 22:34:37"
